texto, rótulo, rótulo_texto
"Ao contrário do filme de Jakubisk, onde há muitos desvios desnecessários e o filme não tem impacto, aqui os atores desconhecidos, a história tem impulso, e eu não tenho que pensar nas deficiências do filme.",0,subjective
Tão excelente quanto o primeiro com um enredo ainda mais complicado e uma visão perfeita do futuro.,0,subjetivo
"A atmosfera desagradável pode ser cortada, a diversidade e o horror oculto de todos os presentes são aperfeiçoados até o último detalhe, e mesmo que você tenha lido The Little Black Girls repetidamente em sua vida e saiba quem, quando e por quem mão vai pular, você ainda está preso ele rói as unhas como se não soubesse nada.",0,subjective
"De qualquer forma, se não a história, pelo menos o ambiente é interessante.",0,subjetivo
"Para o meu gosto, muita "conversa" e pouca ação.",0,subjetivo
"A história é tão engraçada e cativante que eu o perdoei em picossegundos por todo o conto de fadas e 'clichês' da Pixar e (eu realmente não sei o que mais poderia ser culpado por isso) ele encontrou emoções em mim por si só." ,0,subjetivo
Fazia tempo que não saía do cinema tão animado.,0,subjetivo
"Um amante de filmes semelhantes como eu também ficará satisfeito com a comparação constante de filmes antigos de Bond e outros papéis de Sean Connery, que como um orgulhoso escocês deve ter sido adorado pelos personagens principais.",0,subjective
"É fácil ignorar o enredo bobo porque o entusiasmo e o kung fu de Chan chamam toda a atenção.",0,subjective
"E tenho que admitir que não adormeci aqui nem uma vez, embora sejam quase duas horas de tédio como um porco.",0,subjective
"Uma demo infantil pateta, cujo principal charme para mim está na interação rítmica da canção de ninar que acompanha a música (não ouvi a dublagem e não tenho ideia se mantém essa qualidade).",0, subjetivo
"Eu não vejo isso como uma fraqueza, porque se o esquema biográfico básico for mantido, não há espaço para experimentos slasher.",0,subjective